tweet_id,tweet_text,date,time,Likedby_id,Likedby_username,Likedby_name,retweetedby_name,retweetedby_id,retweetedby_username
1769378430527619404,Standing strong against the storms! #MedievalEmpires https://t.co/ETPsNDmDk2,2024-03-17,15:01:05,"1441389560118722562,1037923794,1753105510499237888,1763271227718696960,1373713848994238465,1439586050914062336,1548754013956575234,1746890262616403968,1584846800523071488,592673779,1488779574066683906,1598384472600313871,1590432623653953544,2478465683,1356741226410696704,1357693720355889154,1451262804925812736,1455365806892609537,1590068511484919809,487217947,1699403937093394432,1669955310310817793,1569270959755988992,1461915322215120899,1694500702322618369,1324814031455162370","robydesigns,Mustafa_D__,Rob1111B,CryptoX488574,johnny_samman,ahmedSa45025119,LebensLars,CryptoFuture777,umido4242,arnitanthony,busyfoxseo,boyo216,Napo983858942,msanchezgaza,Mdjxj12,alexeichik1,NoPortraitCom,BrettBeaumont5,cuneyt26811515,Real1domjames,mahyarubi98,Cryptoismic,CellLifeProject,jonwclay88,andrei_adam94,BabesCryptoland","Robert Amarandi,Mustafa D.,Crypto Hog,CryptoX,Johnny Samman,ahmed Salah,Lars Lebens,Crypto Future 777,Umido,Anthony Arnita,Busy Fox,boyo216 | Wildfire,Napoleon,Verda Citizen,Mdjxj,aleXeichik,Nikolay Kolev,Brett Beaumont,Cüneyt,Dom James,kandaralwism,ImnotReal,Hrvoje Miskov,Jonathan Clay,Andrei Adam,Erica🔜Consensus","Crypto Hog,CryptoX","1753105510499237888,1763271227718696960","Rob1111B,CryptoX488574"
1767204126771843412,"What is #EnginAltanDuzyatan's fitness regime as an actor and action hero? 
Let's find out! https://t.co/3lWmAF6CQD",2024-03-11,15:01:11,"1694500702322618369,1409928881205829635,1739509896545251328,745189700,2274912690,1694753647060570118,1357998642683068420,1357693720355889154,1392936312165048325,1594457553949274112,1141190076585697281,1584846800523071488,5881302,1525132327000723458,1460132643018887173,2478465683,1763271227718696960,1569270959755988992,1628813886576025605,1441389560118722562,1319700766446288899,1696527738264485888,1187700202037104640,1596965757690191873","andrei_adam94,bonsolana,rabiadzytn86,LucBerkefeld,DenomadQ,NJ_Halving,Robert40436537,alexeichik1,Andrewdruid,Altanin3,Sooshie_E8T,umido4242,Assad,YMakhambetov,MrMPodcast,msanchezgaza,CryptoX488574,CellLifeProject,kolermagix,robydesigns,Alex17926990,LibyMahadev,EkhtiyarMd,erka_lamar","Andrei Adam,BOOK OF NOTHING 📓,Rabia Düzyatan,Luc Berkefeld,Denomad-Q,NJ CEX,Robsi,aleXeichik,Andrew Barrios🎮,ARYAN 🇵🇸,Sooshie 🥠🍣,Umido,Assad Dar,Yerkin Makhambetov,Mr. M,Verda Citizen,CryptoX,Hrvoje Miskov,Otávio,Robert Amarandi,@colana @army,Burn babydoge🔥,MD.Ekhtiyar Khan Maruf,Erka. Lamar.","Rabia Düzyatan,NJ CEX,CryptoX,MD.Ekhtiyar Khan Maruf","1739509896545251328,1694753647060570118,1763271227718696960,1187700202037104640","rabiadzytn86,NJ_Halving,CryptoX488574,EkhtiyarMd"
