"Space Id","Title","Created At","Language","Creator Id","Host Ids","Invited User Ids","Participant Count","Speaker Ids","Start Date","Start Time","State","Updated","Scheduled Start","Topic Ids","Topic Names","Topic Descriptions","Total Speakers","Total Moderators"
"1YpJkwdvQWdJj","RIP FOOTBALL⚽️","2024-03-23T18:29:38.000Z","tr","214030397","214030397, 1348035424615358464, 1686080089224593420","987649082, 1050772507668742147, 2888195469, 1355875071089381378, 1530264192795697152, 421174094",156,"1450029812274319360, 1686080089224593420, 1348035424615358464, 328514447, 1530264192795697152, 1713897067892944896","2024-03-23","20:34:22","live","2024-03-24T01:54:53.000Z","2024-03-23T20:30:45.000Z","847900493514891265","Sports","All about sports",6.0,3
"1OwxWYPQBwZGQ","C’est fini 😡😡😱😱","2024-03-24T01:20:52.000Z","fr","1475198060720496642","1475198060720496642","1725662517576318976",11,"4798141576, 1725662517576318976, 528884142, 2789926911, 350707313","2024-03-24","01:20:56","live","2024-03-24T01:55:00.000Z","","","","",5.0,1
"1dRJZEPeWroGB","#FantasyFootball Free Agency Winners | Losers w/ Patrick Pucci FF","2024-03-23T02:15:00.000Z","en","1362901274858049540","1362901274858049540, 1300517625173286912","1521523879, 886613300, 1546655586321924097, 1175558853515079681, 1067800064754479104, 1644477471486558209, 1770483631477202944, 1624438271412514817, 43949737, 730192009391017984, 1472205097631461376, 1264246127710425091, 1524922059586928655, 1266098561323864067, 296249835",14,"1300517625173286912, 1175558853515079681, 1067800064754479104, 1770483631477202944, 1624438271412514817, 1289757314749288448, 768732168, 296249835","2024-03-24","00:00:05","live","2024-03-24T01:54:57.000Z","2024-03-24T00:00:00.000Z","","","",8.0,2
"1gqxvQqgORpJB","SEC GODDESSES & PAULiE BLEEKER FOOTBALL ","2024-03-23T22:17:57.000Z","en","88343621","88343621","",0,"","","","scheduled","2024-03-24T01:50:12.000Z","2024-03-28T00:00:00.000Z","","","","",1
"1gqxvQZlqDnJB","#TCAPodcast - How has Pep revolutionised English football?","2024-03-17T20:42:08.000Z","en","1261257974137438217","1261257974137438217","",0,"","","","scheduled","2024-03-24T01:50:12.000Z","2024-03-31T18:00:00.000Z","","","","",1
