"Space Id","Title","Created At","Language","Creator Id","Host Ids","Invited User Ids","Participant Count","Speaker Ids","Start Date","Start Time","State","Updated","Scheduled Start","Topic Ids","Topic Names","Topic Descriptions","Total Speakers","Total Moderators"
"1rmxPMemgyjKN","$MMTLP The Twilight Zone - With Drama","2024-05-07T00:19:20.000Z","en","1463719737305669638","1463719737305669638, 1598794971234148362, 374338079","1146942734978170881",51,"374338079, 1146942734978170881, 1704283139202482176, 1598794971234148362, 1710100676242792448","2024-05-07","00:19:21","live","2024-05-07T05:25:07.000Z","","","","",5.0,3
"1yNxaZvqaeQKj","AMA - Jack Nikogosian ","2024-05-06T09:18:20.000Z","da","954372098687930368","954372098687930368","",0,"","","","scheduled","2024-05-07T05:23:19.000Z","2024-05-09T18:00:00.000Z","913142676819648512, 781974596148793345, 848920371311001600","Cryptocurrencies, Business & finance, Technology","Business & finance, All about business & finance, All about technology","",1
"1RDGllvXWyVGL","AMA w/ @StableJack_xyz","2024-05-03T21:03:50.000Z","tr","1584567191432826882","1584567191432826882","",0,"","","","scheduled","2024-05-07T05:23:19.000Z","2024-05-10T14:00:00.000Z","913142676819648512, 1007360414114435072, 1369311988040355840","Cryptocurrencies, Bitcoin cryptocurrency, NFTs","Business & finance, Cryptocurrency, Digital assets","",1
"1MYGNodqqzyJw","astrology & rap beef","2024-05-07T05:17:37.000Z","en","1429665574926397442","1429665574926397442","",0,"","","","scheduled","2024-05-07T05:23:19.000Z","2024-05-09T23:00:00.000Z","","","","",1
